p	64	1024
a	0	1	69
a	0	2	62
a	0	3	20
a	0	4	52
a	0	5	18
a	0	6	66
a	0	7	54
a	0	8	56
a	0	9	32
a	0	10	1
a	0	11	44
a	0	12	17
a	0	13	45
a	0	14	96
a	0	15	88
a	0	16	16
a	0	17	95
a	0	18	50
a	0	19	35
a	0	20	25
a	0	21	59
a	0	22	55
a	0	24	11
a	0	25	99
a	0	26	34
a	0	28	93
a	0	29	85
a	0	32	85
a	0	33	57
a	0	34	65
a	0	35	71
a	0	36	92
a	0	37	64
a	0	38	21
a	0	40	5
a	0	41	54
a	0	42	33
a	0	43	41
a	0	44	36
a	0	45	38
a	0	46	9
a	0	47	52
a	0	48	90
a	0	49	93
a	0	50	10
a	0	51	12
a	0	52	81
a	0	53	33
a	0	54	18
a	0	55	72
a	0	56	22
a	0	57	15
a	0	58	16
a	0	59	81
a	1	0	97
a	1	2	38
a	1	3	53
a	1	4	87
a	1	5	22
a	1	6	90
a	1	7	74
a	1	8	74
a	1	9	10
a	1	10	39
a	1	11	89
a	1	12	24
a	1	13	84
a	1	14	50
a	1	16	3
a	1	17	12
a	1	18	65
a	1	22	44
a	1	24	3
a	1	26	32
a	1	28	50
a	1	32	65
a	1	33	96
a	1	34	99
a	1	35	20
a	1	36	71
a	1	37	96
a	1	38	82
a	1	39	68
a	1	40	24
a	1	41	85
a	1	42	44
a	1	43	48
a	1	44	37
a	1	45	9
a	1	46	96
a	1	48	29
a	1	49	80
a	1	50	76
a	1	51	42
a	1	52	55
a	1	53	39
a	1	54	100
a	1	56	64
a	1	57	10
a	2	0	18
a	2	1	1
a	2	3	57
a	2	4	11
a	2	5	34
a	2	6	22
a	2	8	67
a	2	9	14
a	2	10	95
a	2	12	12
a	2	13	26
a	2	15	21
a	2	16	7
a	2	17	52
a	2	18	61
a	2	19	56
a	2	20	96
a	2	24	70
a	2	25	65
a	2	26	86
a	2	32	48
a	2	33	32
a	2	34	10
a	2	35	73
a	2	36	67
a	2	37	16
a	2	40	37
a	2	41	30
a	2	42	81
a	2	43	95
a	2	44	39
a	2	48	68
a	2	50	32
a	2	51	54
a	2	52	12
a	2	56	20
a	3	0	88
a	3	1	53
a	3	2	92
a	3	4	99
a	3	8	45
a	3	16	89
a	3	17	24
a	3	20	15
a	3	32	73
a	3	33	54
a	3	34	100
a	3	36	36
a	3	37	75
a	3	39	26
a	3	40	63
a	3	48	17
a	3	49	47
a	3	52	97
a	3	56	8
a	4	0	58
a	4	1	35
a	4	2	37
a	4	3	87
a	4	5	75
a	4	6	69
a	4	7	75
a	4	8	35
a	4	10	68
a	4	11	5
a	4	12	51
a	4	13	7
a	4	16	90
a	4	17	38
a	4	20	89
a	4	21	19
a	4	23	94
a	4	24	20
a	4	26	49
a	4	30	85
a	4	32	84
a	4	33	53
a	4	34	75
a	4	35	3
a	4	36	55
a	4	37	73
a	4	38	70
a	4	39	82
a	4	40	32
a	4	41	89
a	4	42	14
a	4	44	7
a	4	45	52
a	4	46	35
a	4	48	72
a	4	49	17
a	4	50	77
a	4	52	66
a	4	53	19
a	4	60	44
a	5	0	27
a	5	1	53
a	5	2	4
a	5	3	4
a	5	4	67
a	5	6	71
a	5	8	29
a	5	10	41
a	5	11	49
a	5	12	88
a	5	16	69
a	5	17	65
a	5	18	23
a	5	28	15
a	5	32	31
a	5	33	18
a	5	34	61
a	5	36	77
a	5	37	73
a	5	40	31
a	5	42	98
a	5	44	92
a	5	45	39
a	5	46	37
a	5	47	91
a	5	48	25
a	5	50	49
a	5	52	78
a	5	56	42
a	6	0	86
a	6	1	77
a	6	2	100
a	6	8	26
a	6	14	28
a	6	32	44
a	6	34	23
a	6	36	13
a	6	38	60
a	6	39	82
a	6	41	25
a	6	50	82
a	6	52	25
a	6	53	87
a	7	0	45
a	7	2	12
a	7	4	18
a	7	6	9
a	7	9	38
a	7	12	98
a	7	32	72
a	7	36	68
a	7	39	9
a	7	40	37
a	8	0	50
a	8	1	34
a	8	2	73
a	8	3	39
a	8	4	63
a	8	5	79
a	8	6	15
a	8	7	54
a	8	9	59
a	8	10	9
a	8	11	21
a	8	12	76
a	8	15	86
a	8	16	99
a	8	17	78
a	8	18	7
a	8	20	29
a	8	21	95
a	8	24	87
a	8	25	8
a	8	28	39
a	8	32	99
a	8	33	68
a	8	34	75
