p	128	2048
a	0	1	98
a	0	2	94
a	0	3	58
a	0	4	13
a	0	5	13
a	0	6	39
a	0	7	98
a	0	8	10
a	0	9	96
a	0	10	5
a	0	11	81
a	0	12	13
a	0	13	87
a	0	14	73
a	0	16	10
a	0	17	19
a	0	18	13
a	0	19	37
a	0	20	44
a	0	21	39
a	0	22	94
a	0	23	43
a	0	24	72
a	0	25	94
a	0	26	89
a	0	27	18
a	0	28	54
a	0	30	94
a	0	32	90
a	0	33	91
a	0	34	12
a	0	35	15
a	0	36	71
a	0	37	17
a	0	38	35
a	0	40	34
a	0	41	34
a	0	44	100
a	0	46	79
a	0	48	78
a	0	49	45
a	0	50	6
a	0	52	21
a	0	54	11
a	0	55	69
a	0	56	3
a	0	64	79
a	0	65	40
a	0	66	48
a	0	67	95
a	0	68	46
a	0	69	76
a	0	70	58
a	0	71	5
a	0	72	74
a	0	73	29
a	0	74	73
a	0	75	78
a	0	76	27
a	0	78	53
a	0	80	88
a	0	81	66
a	0	82	36
a	0	83	96
a	0	84	21
a	0	86	35
a	0	87	85
a	0	88	33
a	0	89	27
a	0	90	96
a	0	91	1
a	0	92	65
a	0	93	94
a	0	96	67
a	0	97	11
a	0	98	37
a	0	99	24
a	0	100	62
a	0	101	87
a	0	102	40
a	0	104	32
a	0	108	18
a	0	112	49
a	0	114	40
a	0	115	93
a	0	116	98
a	0	118	10
a	1	0	3
a	1	2	73
a	1	3	11
a	1	4	92
a	1	5	89
a	1	6	30
a	1	7	80
a	1	8	51
a	1	9	96
a	1	10	77
a	1	12	87
a	1	15	83
a	1	16	48
a	1	17	33
a	1	18	60
a	1	19	96
a	1	22	100
a	1	24	47
a	1	30	65
a	1	32	39
a	1	33	53
a	1	34	100
a	1	35	31
a	1	37	79
a	1	38	9
a	1	40	74
a	1	41	21
a	1	42	80
a	1	48	3
a	1	49	10
a	1	53	14
a	1	64	59
a	1	65	5
a	1	66	53
a	1	67	16
a	1	68	70
a	1	69	42
a	1	70	53
a	1	71	58
a	1	72	29
a	1	73	17
a	1	74	87
a	1	76	86
a	1	77	77
a	1	80	85
a	1	81	99
a	1	82	47
a	1	83	60
a	1	85	63
a	1	86	60
a	1	88	56
a	1	96	74
a	1	97	81
a	1	98	12
a	1	100	18
a	1	101	90
a	1	102	97
a	1	104	30
a	1	105	82
a	1	107	48
a	1	112	33
a	1	116	22
a	2	0	75
a	2	1	29
a	2	3	3
a	2	4	96
a	2	5	34
a	2	6	39
a	2	7	20
a	2	8	90
a	2	9	55
a	2	10	75
a	2	11	13
a	2	12	19
a	2	13	19
a	2	14	100
a	2	16	46
a	2	17	72
a	2	18	34
a	2	19	14
a	2	20	47
a	2	22	44
a	2	24	31
a	2	29	91
a	2	32	47
a	2	33	18
a	2	34	54
a	2	35	88
a	2	36	94
a	2	37	11
a	2	42	29
a	2	48	71
a	2	49	2
a	2	53	13
a	2	60	50
a	2	64	88
a	2	65	18
a	2	66	40
a	2	67	44
a	2	68	46
a	2	69	31
a	2	70	78
a	2	71	12
a	2	72	84
a	2	74	50
a	2	75	28
a	2	76	83
a	2	78	91
a	2	80	34
a	2	81	39
a	2	82	25
a	2	84	73
a	2	85	94
a	2	86	64
a	2	88	59
a	2	89	14
a	2	90	74
a	2	92	36
a	2	96	59
a	2	97	34
a	2	98	78
a	2	99	51
a	2	100	28
a	2	102	11
a	2	104	10
a	2	105	3
a	2	112	42
a	2	114	1
a	2	116	48
a	2	117	75
a	2	121	67
a	3	0	55
a	3	1	47
a	3	2	96
a	3	4	96
a	3	5	48
a	3	6	46
a	3	7	88
a	3	8	9
a	3	9	2
a	3	10	49
a	3	12	53
a	3	16	15
a	3	17	81
a	3	18	29
a	3	22	68
a	3	28	79
a	3	32	11
a	3	33	81
a	3	34	31
a	3	40	47
a	3	44	15
a	3	56	40
a	3	64	64
a	3	65	80
a	3	66	12
a	3	67	26
a	3	68	83
a	3	69	68
a	3	72	27
a	3	73	43
a	3	75	10
a	3	80	67
a	3	82	39
a	3	84	73
a	3	96	19
a	3	97	65
a	3	98	87
a	3	100	68
a	3	108	25
a	3	109	78
a	3	112	98
a	4	0	58
a	4	1	6
a	4	2	84
a	4	5	47
a	4	6	61
a	4	7	28
a	4	8	76
a	4	10	63
a	4	11	26
a	4	12	63
a	4	14	51
a	4	16	51
a	4	17	52
a	4	18	91
a	4	20	36
a	4	22	24
a	4	24	48
a	4	26	79
a	4	28	11
a	4	32	50
a	4	33	1
a	4	34	77
a	4	38	75
a	4	40	49
a	4	41	43
a	4	48	94
a	4	64	99
a	4	65	82
a	4	66	28
a	4	68	56
a	4	70	70
a	4	71	21
a	4	72	27
a	4	73	94
a	4	74	77
a	4	76	2
a	4	80	45
a	4	82	32
a	4	83	70
a	4	84	26
a	4	86	92
a	4	87	32
a	4	88	2
a	4	90	18
a	4	93	69
a	4	96	52
a	4	97	13
a	4	98	14
a	4	102	41
a	4	114	85
a	4	120	41
a	5	0	87
a	5	2	4
a	5	4	23
a	5	8	72
a	5	16	81
a	5	18	95
a	5	22	42
a	5	25	71
a	5	26	77
a	5	33	26
a	5	36	45
a	5	48	76
a	5	50	90
a	5	64	55
a	5	66	13
a	5	68	26
a	5	70	42
a	5	73	84
a	5	74	92
a	5	76	24
a	5	80	34
a	5	82	99
a	5	86	73
a	5	98	14
a	5	100	57
a	5	102	33
a	6	0	27
a	6	1	42
a	6	2	23
a	6	4	70
a	6	8	2
a	6	10	50
a	6	13	81
a	6	14	15
a	6	16	86
a	6	17	37
a	6	18	12
a	6	20	63
a	6	25	15
a	6	32	9
a	6	35	6
a	6	42	6
a	6	64	47
a	6	65	60
a	6	66	38
a	6	68	70
a	6	70	98
a	6	72	86
a	6	74	92
a	6	76	36
a	6	80	67
a	6	81	10
a	6	89	1
a	6	96	31
a	6	98	28
a	6	100	27
a	6	112	72
a	7	0	63
a	7	2	11
a	7	4	53
a	7	6	72
a	7	10	66
a	7	16	66
a	7	50	23
a	7	64	36
a	7	68	77
a	7	72	88
a	7	80	31
a	7	82	93
a	8	0	49
a	8	1	5
a	8	2	68
a	8	4	71
a	8	6	96
a	8	7	4
a	8	9	96
a	8	10	7
a	8	12	4
a	8	14	18
