p	256	4096
a	0	1	28
a	0	2	26
a	0	3	95
a	0	4	7
a	0	5	40
a	0	6	12
a	0	7	42
a	0	8	33
a	0	9	60
a	0	10	8
a	0	11	50
a	0	12	10
a	0	13	28
a	0	14	18
a	0	16	31
a	0	17	22
a	0	18	99
a	0	20	24
a	0	21	20
a	0	23	53
a	0	24	30
a	0	25	100
a	0	26	34
a	0	28	90
a	0	32	44
a	0	33	43
a	0	34	23
a	0	35	35
a	0	36	23
a	0	37	48
a	0	38	52
a	0	40	37
a	0	41	78
a	0	44	13
a	0	45	66
a	0	46	14
a	0	47	68
a	0	48	59
a	0	50	54
a	0	52	85
a	0	53	49
a	0	57	60
a	0	60	51
a	0	61	29
a	0	64	28
a	0	65	62
a	0	66	77
a	0	67	16
a	0	68	9
a	0	69	17
a	0	70	70
a	0	72	4
a	0	73	68
a	0	74	61
a	0	76	84
a	0	78	51
a	0	79	93
a	0	80	1
a	0	81	33
a	0	82	16
a	0	88	33
a	0	92	59
a	0	96	61
a	0	97	54
a	0	100	54
a	0	105	45
a	0	112	54
a	0	118	48
a	0	128	18
a	0	129	47
a	0	130	68
a	0	131	85
a	0	132	53
a	0	133	35
a	0	134	4
a	0	135	9
a	0	136	84
a	0	137	57
a	0	138	55
a	0	139	40
a	0	140	68
a	0	141	23
a	0	142	62
a	0	144	55
a	0	145	100
a	0	146	83
a	0	147	4
a	0	148	68
a	0	149	38
a	0	150	94
a	0	152	54
a	0	153	97
a	0	154	52
a	0	155	17
a	0	160	78
a	0	161	53
a	0	162	54
a	0	163	10
a	0	164	88
a	0	165	78
a	0	166	66
a	0	168	30
a	0	169	49
a	0	172	33
a	0	173	72
a	0	176	32
a	0	177	32
a	0	179	10
a	0	180	19
a	0	181	36
a	0	184	69
a	0	185	79
a	0	192	28
a	0	193	13
a	0	194	4
a	0	195	41
a	0	196	82
a	0	197	32
a	0	200	31
a	0	201	94
a	0	203	74
a	0	204	90
a	0	205	35
a	0	208	17
a	0	209	91
a	0	212	80
a	0	213	28
a	0	216	21
a	0	218	80
a	0	221	32
a	0	224	55
a	0	225	71
a	0	229	76
a	0	230	14
a	0	232	68
a	0	252	38
a	1	0	34
a	1	2	88
a	1	3	80
a	1	4	49
a	1	5	3
a	1	6	80
a	1	7	64
a	1	8	20
a	1	9	5
a	1	10	32
a	1	11	27
a	1	12	59
a	1	14	50
a	1	16	86
a	1	17	72
a	1	18	28
a	1	19	96
a	1	20	60
a	1	21	20
a	1	24	73
a	1	25	42
a	1	26	90
a	1	28	75
a	1	32	57
a	1	33	30
a	1	34	70
a	1	35	32
a	1	36	87
a	1	37	92
a	1	38	61
a	1	40	38
a	1	41	55
a	1	44	68
a	1	48	11
a	1	52	19
a	1	64	42
a	1	65	19
a	1	67	55
a	1	68	24
a	1	69	4
a	1	70	48
a	1	72	24
a	1	76	19
a	1	77	64
a	1	78	56
a	1	81	86
a	1	83	45
a	1	84	46
a	1	85	66
a	1	96	82
a	1	97	40
a	1	101	95
a	1	105	85
a	1	113	39
a	1	128	58
a	1	129	34
a	1	130	70
a	1	131	22
a	1	132	54
a	1	133	14
a	1	134	6
a	1	135	13
a	1	136	78
a	1	137	17
a	1	138	100
a	1	139	77
a	1	140	78
a	1	142	59
a	1	144	71
a	1	145	53
a	1	148	76
a	1	152	42
a	1	160	71
a	1	161	37
a	1	162	61
a	1	163	44
a	1	164	100
a	1	165	52
a	1	168	3
