p	32	512
a	0	1	84
a	0	2	48
a	0	3	4
a	0	4	97
a	0	5	51
a	0	6	75
a	0	7	35
a	0	8	61
a	0	9	14
a	0	10	11
a	0	12	90
a	0	13	72
a	0	14	58
a	0	16	76
a	0	17	16
a	0	18	78
a	0	19	56
a	0	20	14
a	0	21	4
a	0	22	75
a	0	23	36
a	0	24	67
a	0	25	41
a	0	26	28
a	0	27	73
a	0	28	76
a	0	29	50
a	0	30	1
a	0	31	84
a	1	0	41
a	1	2	83
a	1	3	93
a	1	4	5
a	1	5	52
a	1	6	75
a	1	8	20
a	1	9	19
a	1	12	77
a	1	14	85
a	1	16	11
a	1	17	72
a	1	18	86
a	1	19	31
a	1	20	54
a	1	21	76
a	1	22	52
a	1	23	49
a	1	24	42
a	1	25	40
a	1	26	75
a	1	28	99
a	1	30	37
a	2	0	39
a	2	1	61
a	2	3	19
a	2	4	46
a	2	5	56
a	2	6	84
a	2	7	37
a	2	8	15
a	2	9	2
a	2	10	95
a	2	11	28
a	2	12	73
a	2	14	95
a	2	16	95
a	2	17	84
a	2	18	91
a	2	19	31
a	2	20	2
a	2	21	43
a	2	22	7
a	2	23	65
a	2	24	20
a	2	25	13
a	2	26	90
a	2	27	39
a	2	28	36
a	3	0	71
a	3	1	9
a	3	2	75
a	3	4	9
a	3	5	57
a	3	6	27
a	3	16	80
a	3	17	38
a	3	18	60
a	3	19	49
a	3	20	22
a	3	21	19
a	3	23	52
a	3	25	32
a	3	28	85
a	4	0	77
a	4	1	58
a	4	2	45
a	4	3	32
a	4	5	43
a	4	6	55
a	4	7	39
a	4	8	1
a	4	9	26
a	4	10	45
a	4	12	92
a	4	13	31
a	4	14	74
a	4	16	80
a	4	17	5
a	4	18	36
a	4	19	54
a	4	20	91
a	4	21	47
a	4	22	12
a	4	23	29
a	4	24	69
a	4	25	94
a	4	26	77
a	4	27	70
a	4	28	33
a	4	29	26
a	5	0	65
a	5	1	38
a	5	2	60
a	5	3	47
a	5	4	1
a	5	6	100
a	5	8	25
a	5	9	77
a	5	10	3
a	5	11	85
a	5	16	18
a	5	17	98
a	5	18	14
a	5	19	88
a	5	20	55
a	5	21	34
a	5	22	80
a	5	24	59
a	5	25	83
a	5	26	66
a	5	28	17
a	5	30	72
a	6	0	5
a	6	1	89
a	6	2	79
a	6	3	31
a	6	4	35
a	6	7	93
a	6	8	13
a	6	9	37
a	6	10	61
a	6	12	60
a	6	16	55
a	6	17	44
a	6	18	69
a	6	19	68
a	6	20	22
a	6	22	15
a	6	24	75
a	6	25	63
a	6	26	48
a	6	29	61
a	6	30	74
a	6	31	50
a	7	0	19
a	7	1	5
a	7	2	92
a	7	9	66
a	7	16	78
a	7	17	45
a	7	18	51
a	7	20	53
a	7	23	4
a	8	0	91
a	8	1	68
a	8	2	27
a	8	3	59
a	8	4	31
a	8	5	96
a	8	6	64
a	8	7	100
a	8	9	18
a	8	10	61
a	8	11	99
a	8	12	50
a	8	13	99
a	8	14	22
a	8	15	79
