p	1024	16384
a	0	1	22
a	0	2	69
a	0	3	35
a	0	4	58
a	0	5	9
a	0	6	83
a	0	7	11
a	0	8	51
a	0	9	69
a	0	10	99
a	0	11	40
a	0	12	47
a	0	13	83
a	0	14	18
a	0	15	98
a	0	16	65
a	0	17	21
a	0	18	23
a	0	19	36
a	0	20	70
a	0	21	17
a	0	22	26
a	0	23	4
a	0	24	95
a	0	25	57
a	0	26	84
a	0	27	69
a	0	28	61
a	0	29	81
a	0	32	49
a	0	33	2
a	0	34	20
a	0	35	24
a	0	36	56
a	0	37	58
a	0	38	18
a	0	39	59
a	0	40	58
a	0	41	19
a	0	42	90
a	0	43	92
a	0	44	69
a	0	46	12
a	0	48	75
a	0	49	23
a	0	50	91
a	0	51	70
a	0	52	99
a	0	53	7
a	0	54	64
a	0	55	37
a	0	56	34
a	0	57	35
a	0	59	92
a	0	60	51
a	0	61	41
a	0	63	28
a	0	64	81
a	0	65	40
a	0	66	23
a	0	67	62
a	0	68	43
a	0	69	42
a	0	70	41
a	0	71	55
a	0	72	68
a	0	73	60
a	0	74	33
a	0	75	31
a	0	76	58
a	0	78	52
a	0	79	17
a	0	80	78
a	0	81	31
a	0	82	69
a	0	83	60
a	0	84	31
a	0	85	9
a	0	86	80
a	0	92	90
a	0	94	65
a	0	95	66
a	0	96	22
a	0	97	36
a	0	98	63
a	0	99	45
a	0	100	23
a	0	102	39
a	0	103	75
a	0	105	65
a	0	112	89
a	0	115	93
a	0	116	34
a	0	117	42
a	0	120	24
a	0	128	43
a	0	129	34
a	0	130	42
a	0	131	25
a	0	132	49
a	0	133	65
a	0	134	81
a	0	135	77
a	0	137	87
a	0	138	7
a	0	139	100
a	0	140	27
a	0	142	9
a	0	144	10
a	0	145	59
a	0	146	28
a	0	147	66
a	0	148	64
a	0	149	13
a	0	150	70
a	0	152	36
a	0	153	88
a	0	156	84
a	0	157	39
a	0	158	15
a	0	159	44
a	0	160	13
a	0	161	11
a	0	162	71
a	0	163	95
a	0	164	85
a	0	165	53
a	0	166	3
a	0	168	83
a	0	174	73
a	0	176	26
a	0	177	35
a	0	178	93
a	0	182	99
a	0	188	38
a	0	192	60
a	0	193	31
a	0	194	81
a	0	196	99
a	0	197	46
a	0	200	49
a	0	201	1
a	0	202	59
a	0	208	23
a	0	209	44
a	0	214	10
a	0	224	85
a	0	226	39
a	0	231	16
a	0	240	18
a	0	256	35
a	0	257	58
a	0	258	89
a	0	259	93
a	0	260	35
a	0	261	69
a	0	262	91
a	0	263	53
a	0	264	7
a	0	269	67
a	0	270	24
a	0	272	46
a	0	273	34
a	0	274	3
a	0	276	94
a	0	277	23
a	0	278	91
a	0	280	24
a	0	282	38
a	0	284	34
a	0	288	56
a	0	289	76
a	0	290	88
a	0	291	37
a	0	292	24
a	0	293	89
a	0	294	80
a	0	296	89
a	0	304	4
a	0	307	99
a	0	310	69
a	0	317	63
a	0	318	56
a	0	320	61
a	0	321	32
a	0	322	60
a	0	323	80
a	0	324	87
a	0	325	23
a	0	328	1
a	0	330	52
a	0	336	76
a	0	339	86
a	0	341	36
a	0	342	13
a	0	384	18
a	0	385	73
a	0	386	38
a	0	387	37
a	0	388	71
a	0	390	51
a	0	391	14
a	0	392	35
a	0	393	53
a	0	394	55
a	0	398	40
a	0	400	59
a	0	401	24
a	0	402	54
a	0	407	1
a	0	413	86
a	0	417	89
a	0	420	96
a	0	429	42
a	0	432	25
a	0	433	42
a	0	436	66
a	0	449	31
a	0	464	26
a	0	465	69
a	0	475	47
a	0	512	27
a	0	513	24
a	0	514	43
a	0	515	1
a	0	516	44
a	0	517	24
a	0	518	90
a	0	519	50
a	0	520	40
a	0	521	55
a	0	522	21
a	0	523	32
a	0	524	93
a	0	525	62
a	0	526	82
a	0	527	30
a	0	528	29
a	0	529	40
a	0	530	84
a	0	531	12
a	0	532	95
a	0	533	91
a	0	534	62
a	0	535	93
a	0	536	84
a	0	537	42
a	0	538	91
a	0	539	86
a	0	540	41
a	0	541	85
a	0	542	76
a	0	543	2
a	0	544	96
a	0	545	73
a	0	546	7
a	0	547	68
a	0	548	26
a	0	549	22
a	0	550	17
a	0	551	33
a	0	552	92
a	0	553	70
a	0	554	94
a	0	555	43
a	0	556	76
a	0	557	63
a	0	558	15
a	0	559	49
a	0	560	26
a	0	561	24
a	0	562	97
a	0	564	75
a	0	565	2
a	0	566	4
a	0	571	20
a	0	576	80
a	0	577	60
a	0	578	56
a	0	579	95
a	0	580	58
a	0	581	87
a	0	582	62
a	0	583	86
a	0	584	50
a	0	585	86
a	0	586	93
a	0	588	75
a	0	590	25
a	0	592	61
a	0	593	55
a	0	594	6
a	0	596	18
a	0	597	38
a	0	598	81
a	0	600	42
a	0	606	53
a	0	608	19
a	0	609	26
a	0	610	53
a	0	612	31
a	0	613	59
a	0	614	10
a	0	617	51
a	0	624	63
a	0	625	51
a	0	626	72
a	0	628	49
a	0	629	92
a	0	630	15
a	0	640	54
a	0	641	5
a	0	642	16
a	0	643	89
a	0	644	56
a	0	645	92
a	0	646	69
a	0	647	17
a	0	648	59
a	0	649	89
a	0	650	10
a	0	651	21
a	0	652	68
a	0	653	16
a	0	654	84
a	0	656	92
a	0	657	4
a	0	658	53
a	0	659	98
a	0	660	69
a	0	661	61
a	0	662	46
a	0	663	17
a	0	664	69
a	0	672	46
a	0	673	34
a	0	674	68
a	0	676	25
a	0	677	67
a	0	678	80
a	0	679	91
